code,year_month,month,unit_markup,Y,hc_cluster_1,hc_cluster_2,hc_cluster_3,hc_cluster_4,hc_cluster_5,hc_cluster_6,hc_cluster_7,hc_cluster_8,hc_cluster_9,kmeans_cluster_0,kmeans_cluster_1,kmeans_cluster_2,kmeans_cluster_3,kmeans_cluster_4,kmeans_cluster_5,kmeans_cluster_6,kmeans_cluster_7,kmeans_cluster_8,cat_code_0,cat_code_1,cat_code_2,cat_code_3,cat_code_4,cat_code_5,cat_code_6,cat_code_7,cat_code_8,cat_code_9,cat_code_10
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.1,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.2,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.3,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.4,61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.5,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.6,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.7,104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.8,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,1.9,141,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,2.0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,2.1,73,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,2.2,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,2.3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,2.4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-11,11,2.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,1.4,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,1.5,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,1.6,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,1.7,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,1.9,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,2.0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,2.1,56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,2.2,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,2.3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,2.4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,2.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.2,50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.3,57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.4,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.5,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.7,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.8,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,1.9,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,2.0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,2.1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,2.2,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,2.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.1,123,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.2,131,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.3,166,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.4,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.5,49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.6,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.7,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.8,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,1.9,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,2.0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,2.1,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,2.2,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.1,238,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.2,298,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.3,220,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.4,54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.5,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.6,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.7,91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.8,133,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1.9,129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,2.0,102,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,2.1,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,2.2,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,2.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,2.4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.2,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.3,114,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.4,81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.5,56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.6,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.8,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,1.9,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,2.0,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,2.1,61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,2.2,55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,2.3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.1,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.2,63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.3,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.4,97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.5,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.6,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.7,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.8,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,1.9,66,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,2.0,66,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,2.1,76,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
