code,year_month,month,Y,hc_cluster_1,hc_cluster_2,hc_cluster_3,hc_cluster_4,hc_cluster_5,hc_cluster_6,hc_cluster_7,hc_cluster_8,hc_cluster_9,kmeans_cluster_0,kmeans_cluster_1,kmeans_cluster_2,kmeans_cluster_3,kmeans_cluster_4,kmeans_cluster_5,kmeans_cluster_6,kmeans_cluster_7,kmeans_cluster_8,cat_code_0,cat_code_1,cat_code_2,cat_code_3,cat_code_4,cat_code_5,cat_code_6,cat_code_7,cat_code_8,cat_code_9,cat_code_10
0671c2b9132a3f5215a4212ce0691694,2016-11,11,664,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2016-12,12,225,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-01,1,211,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-02,2,634,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-03,3,1343,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-04,4,508,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0671c2b9132a3f5215a4212ce0691694,2017-05,5,655,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-08,8,58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-09,9,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-10,10,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-11,11,173,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2016-12,12,164,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-01,1,116,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-02,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-03,3,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-04,4,59,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09f544ec2a74c89abeec7b0590fc2d11,2017-05,5,86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2016-10,10,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2016-11,11,45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2016-12,12,51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-01,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-02,2,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-03,3,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-04,4,83,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0ad316f6b5cb5e81ebff73ae2490ccfe,2017-05,5,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-06,6,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-07,7,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-08,8,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-09,9,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-10,10,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-11,11,50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2016-12,12,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-01,1,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-02,2,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-03,3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-04,4,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bbe09e34a11e8e31cf49d6f8df2992d,2017-05,5,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2016-10,10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2016-11,11,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2016-12,12,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2017-01,1,546,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2017-02,2,88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2017-03,3,161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2017-04,4,115,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dca7ec6ba9b6e8f17f04f713a6be727,2017-05,5,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2016-11,11,253,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2016-12,12,110,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2017-01,1,77,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2017-02,2,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2017-03,3,482,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2017-04,4,212,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0f38be2df6854b4374f06cae1bc38482,2017-05,5,272,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118484c270085e811fbbc81978a269b2,2016-12,12,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118484c270085e811fbbc81978a269b2,2017-01,1,96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118484c270085e811fbbc81978a269b2,2017-02,2,116,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118484c270085e811fbbc81978a269b2,2017-03,3,90,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118484c270085e811fbbc81978a269b2,2017-04,4,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118484c270085e811fbbc81978a269b2,2017-05,5,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-06,6,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-07,7,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-08,8,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-09,9,93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-10,10,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-11,11,58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2016-12,12,59,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2017-01,1,54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2017-02,2,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2017-03,3,57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2017-04,4,72,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13b69fd4bf80b95756e3b138c9169a7f,2017-05,5,45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-06,6,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-07,7,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-08,8,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-09,9,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-10,10,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-11,11,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2016-12,12,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2017-01,1,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2017-02,2,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2017-03,3,61,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2017-04,4,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174ef25d9556d516a813e2972f3b8351,2017-05,5,114,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
